NUMBER	Phylum	Family	SUBGROUP	NAME	GLOTTOLOG	LAT	LON	Village
1	---	Bangime	Bangime	Bangime	bang1363	14.80	-3.76	Bounou
2	Niger-Congo	Mande	Central_Mande	Bambara	bamb1269	14.53	-4.10	Sevare
3	Niger-Congo	Dogon	Eastern_Dogon	Bankan_Tey	bank1259	15.07	-2.91	Oualo
4	Niger-Congo	Dogon	Eastern_Dogon	Ben_Tey	bent1238	14.85	-2.95	Beni
5	Niger-Congo	Dogon	Western_Dogon	Bunoge	buno1241	14.65	-3.79	Boudou
6	Niger-Congo	Dogon	Eastern_Dogon	Jamsay	jams1239	14.64	-3.10	Bamba
7	Niger-Congo	Dogon	Western_Dogon	Mombo	momb1254	14.51	-3.91	Bandiougou
8	Niger-Congo	Dogon	Western_Dogon	Najamba	bond1248	14.90	-3.42	Dogani
9	Niger-Congo	Dogon	Eastern_Dogon	Nanga	nang1261	14.72	-3.02	Namakoro
10	Niger-Congo	Dogon	Eastern_Dogon	Perge_Tegu	perg1234	14.85	-3.02	Pergue
11	Niger-Congo	Dogon	Eastern_Dogon	Tebul_Ure	tebu1239	14.69	-3.11	Mande
12	Niger-Congo	Dogon	Western_Dogon	Tiranige_Diga	tira1258	14.80	-3.72	Damagari
13	Niger-Congo	Dogon	Eastern_Dogon	Togo_Kan	togo1254	14.16	-3.38	Benie
14	Niger-Congo	Dogon	Eastern_Dogon	Tommo_So	tomm1242	14.67	-3.51	Kendie
15	Niger-Congo	Dogon	Eastern_Dogon	Toro_Tegu	toro1253	15.01	-2.4	Nemguene
16	Niger-Congo	Dogon	Eastern_Dogon	Yanda_Dom	yand1257	14.63	-3.15	Yanda
17	Niger-Congo	Dogon	Eastern_Dogon	Yorno_So	yorn1234	14.56	-3.24	Yendouma
18	Niger-Congo	Atlantic	Fula_Maasina	Fulfulde	maas1239	14.80	-3.84	Ouro-Ngeou
19	Niger-Congo	Mande	Northwestern_Mande	Jenaama	jena1242	14.79	-3.78	Madougou
20	Niger-Congo	Dogon	Western_Dogon	Penange	pena1270	14.39	-4.03	Pinia
21	Nilo-Saharan	Songhai	Eastern_Songhai	Songhai_Kiini	koyr1240	15.21	-2.75	Kikara
22	Nilo-Saharan	Songhai	Eastern_Songhai	Songhai_Senni	humb1243	15.28	-1.70	Hombori
