ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
1,,bambara,guestorstranger,dúnáⁿ,dúnáⁿ,d u ⁵ n ã ⁵ ∼,,Hantgan2018,,
2,,bangime,guestorstranger,yīī tūwⁿɔ̀,yīī tūwⁿɔ̀,j iː ³³ _ t u ³ w̃ ∼ ɔ ¹,,Hantgan2018,,
3,,bankantey,guestorstranger,ǹdòsú-m,ǹdòsú-m,n ¹ d o ¹ s u ⁵ + m,,Hantgan2018,,
4,,bentey,guestorstranger,lò:sú-m,lò:sú-m,l oː ¹ s u ⁵ + m,,Hantgan2018,,
5,,bunoge,guestorstranger,dó:njì,dó:njì,d oː ⁵ n dʒ i ¹,,Hantgan2018,,
6,,fulfulde,guestorstranger,koɗɗo,koɗɗo,k o ɗ ɗ o,,Hantgan2018,,
7,,jamsay,guestorstranger,yérí-n,yérí-n,j e ⁵ r i ⁵ + n,,Hantgan2018,,
8,,jenaama,guestorstranger,súmū,súmū,s u ⁵ m u ³,,Hantgan2018,,
9,,mombo,guestorstranger,gìlà gílí,gìlà gílí,ɡ i ¹ l a ¹ _ ɡ i ⁵ l i ⁵,,Hantgan2018,,
10,,najamba,guestorstranger,bèmbǎ:,bèmbǎ:,b e ¹ m b aː ¹⁵,,Hantgan2018,,
11,,nanga,guestorstranger,lò:sí,lò:sí,l oː ¹ s i ⁵,,Hantgan2018,,
12,,penange,guestorstranger,bì:mbà,bì:mbà,b iː ¹ m b a ¹,,Hantgan2018,,
13,,pergetegu,guestorstranger,lò:sú-n,lò:sú-n,l oː ¹ s u ⁵ + n,,Hantgan2018,,
14,,songhaikiini,guestorstranger,yòwòó,yòwòó,j o ¹ w oː ¹⁵,,Hantgan2018,,
15,,songhaisenni,guestorstranger,yòwò,yòwò,j o ¹ w o ¹,,Hantgan2018,,
16,,tebulure,guestorstranger,lògò-dé:,lògò-dé:,l o ¹ ɡ o ¹ + d eː ⁵,,Hantgan2018,,
17,,tiranigediga,guestorstranger,bí:má,bí:má,b iː ⁵ m a ⁵,,Hantgan2018,,
18,,togokan,guestorstranger,yéríⁿ,yéríⁿ,j e ⁵ r ĩ ⁵ ∼,,Hantgan2018,,
19,,tommoso,guestorstranger,yòùnjì-nɛ́,yòùnjì-nɛ́,j o ¹ u ¹ n dʒ i ¹ + n ɛ ⁵,,Hantgan2018,,
20,,torotegu,guestorstranger,lòsù-rⁿu,lòsù-rⁿu,l o ¹ s u ¹ + r̃ ∼ u,,Hantgan2018,,
21,,yandadom,guestorstranger,nò nò:zù,nò nò:zù,n o ¹ _ n oː ¹ z u ¹,,Hantgan2018,,
22,,yornoso,guestorstranger,yér-nɛ́,yér-nɛ́,j e ⁵ r + n ɛ ⁵,,Hantgan2018,,
23,,bangime,age,ɡwìì,ɡwìì,ɡ w iː ¹,,Hantgan2018,,
24,,bankantey,age,pɛ́,pɛ́,p ɛ ⁵,,Hantgan2018,,
25,,bentey,age,pɛ́,pɛ́,p ɛ ⁵,,Hantgan2018,,
26,,bunoge,age,kɛ̀mnɔ̀ kánì,kɛ̀mnɔ̀ kánì,k ɛ ¹ m n ɔ ¹ _ k a ⁵ n i ¹,,Hantgan2018,,
