ID,Name,Concepticon_ID,Concepticon_Gloss
guestorstranger,GUEST OR STRANGER,2908,GUEST OR STRANGER
age,AGE,1789,AGE
animal,ANIMAL,619,ANIMAL
answer,ANSWER,1275,ANSWER
armpit,ARMPIT,1886,ARMPIT
arrive,ARRIVE,1387,ARRIVE
ash,ASH,646,ASH
back,BACK,1291,BACK
bad,BAD,1292,BAD
bark,BARK,1204,BARK
beard,BEARD,678,BEARD
beautiful,BEAUTIFUL,1427,BEAUTIFUL
begin,BEGIN,1806,BEGIN
belly,BELLY,1251,BELLY
beside,BESIDE,1816,BESIDE
betray,BETRAY,1902,BETRAY
big,BIG,1202,BIG
bird,BIRD,937,BIRD
bite,BITE,1403,BITE
bitter,BITTER,887,BITTER
blacksmith,BLACKSMITH,1001,BLACKSMITH
blanket,BLANKET,806,BLANKET
blink,BLINK,1655,BLINK
blood,BLOOD,946,BLOOD
body,BODY,1480,BODY
bone,BONE,1394,BONE
breakfast,BREAKFAST,1322,BREAKFAST
breast,BREAST,1402,BREAST
breathe,BREATHE,1407,BREATHE
broom,BROOM,245,BROOM
build,BUILD,1840,BUILD
burnsomething,BURN (SOMETHING),141,BURN (SOMETHING)
bury,BURY,1719,BURY
buy,BUY,1869,BUY
call,CALL,1084,CALL
camel,CAMEL,1871,CAMEL
carryonhead,CARRY ON HEAD,414,CARRY ON HEAD
carve,CARVE,228,CARVE
cassava,CASSAVA,925,CASSAVA
cat,CAT,1208,CAT
cave,CAVE,1155,CAVE
cheek,CHEEK,1730,CHEEK
chest,CHEST,1592,CHEST
chicken,CHICKEN,1318,CHICKEN
chieftain,CHIEFTAIN,301,CHIEFTAIN
child,CHILD,2099,CHILD
chin,CHIN,1510,CHIN
cloud,CLOUD,1489,CLOUD
cold,COLD,1287,COLD
come,COME,1446,COME
comeback,COME BACK,581,COME BACK
cotton,COTTON,1850,COTTON
count,COUNT,1420,COUNT
country,COUNTRY,1300,COUNTRY
cow,COW,1007,COW
cry,CRY,1839,CRY
dew,DEW,1977,DEW
die,DIE,1494,DIE
dig,DIG,1418,DIG
disease,DISEASE,1986,DISEASE
divide,DIVIDE,1119,DIVIDE
dog,DOG,2009,DOG
donkey,DONKEY,1862,DONKEY
door,DOOR,1567,DOOR
dove,DOVE,1853,DOVE
drink,DRINK,1401,DRINK
dripfallinglobules,DRIP (FALL IN GLOBULES),808,DRIP (FALL IN GLOBULES)
dry,DRY,1398,DRY
