ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
2-1-1,,2,1,dúnáⁿ,dúnáⁿ,d u ⁵ n ã ⁵ ∼,,Dumestre2011,,
1-1-1,,1,1,yīī tūwⁿɔ̀,yīī tūwⁿɔ̀,j iː ³³ _ t u ³ w̃ ∼ ɔ ¹,,Hantgan2016,,
3-1-1,,3,1,ǹdòsú-m,ǹdòsú-m,n ¹ d o ¹ s u ⁵ + m,,Heath2015,,
4-1-1,,4,1,lò:sú-m,lò:sú-m,l oː ¹ s u ⁵ + m,,Heath2015,,
5-1-1,,5,1,dó:njì,dó:njì,d oː ⁵ n dʒ i ¹,,Heath2015,,
18-1-1,,18,1,koɗɗo,koɗɗo,k o ɗ ɗ o,,Osborn1993,,
6-1-1,,6,1,yérí-n,yérí-n,j e ⁵ r i ⁵ + n,,Heath2015,,
19-1-1,,19,1,súmū,súmū,s u ⁵ m u ³,,Heath2016jenaama,,
7-1-1,,7,1,gìlà gílí,gìlà gílí,ɡ i ¹ l a ¹ _ ɡ i ⁵ l i ⁵,,Heath2015,,
8-1-1,,8,1,bèmbǎ:,bèmbǎ:,b e ¹ m b aː ¹⁵,,Heath2015,,
9-1-1,,9,1,lò:sí,lò:sí,l oː ¹ s i ⁵,,Heath2015,,
20-1-1,,20,1,bì:mbà,bì:mbà,b iː ¹ m b a ¹,,Heath2015,,
10-1-1,,10,1,lò:sú-n,lò:sú-n,l oː ¹ s u ⁵ + n,,Heath2015,,
21-1-1,,21,1,yòwòó,yòwòó,j o ¹ w oː ¹⁵,,Heath2005,,
22-1-1,,22,1,yòwò,yòwò,j o ¹ w o ¹,,HeathSONG2015,,
11-1-1,,11,1,lògò-dé:,lògò-dé:,l o ¹ ɡ o ¹ + d eː ⁵,,Heath2015,,
12-1-1,,12,1,bí:má,bí:má,b iː ⁵ m a ⁵,,Heath2015,,
13-1-1,,13,1,yéríⁿ,yéríⁿ,j e ⁵ r ĩ ⁵ ∼,,Heath2015,,
14-1-1,,14,1,yòùnjì-nɛ́,yòùnjì-nɛ́,j o ¹ u ¹ n dʒ i ¹ + n ɛ ⁵,,Heath2015,,
15-1-1,,15,1,lòsù-rⁿu,lòsù-rⁿu,l o ¹ s u ¹ + r̃ ∼ u,,Heath2015,,
16-1-1,,16,1,nò nò:zù,nò nò:zù,n o ¹ _ n oː ¹ z u ¹,,Heath2015,,
17-1-1,,17,1,yér-nɛ́,yér-nɛ́,j e ⁵ r + n ɛ ⁵,,Heath2015,,
1-2-1,,1,2,ɡwìì,ɡwìì,ɡ w iː ¹,,Hantgan2016,,
3-2-1,,3,2,pɛ́,pɛ́,p ɛ ⁵,,Heath2015,,
4-2-1,,4,2,pɛ́,pɛ́,p ɛ ⁵,,Heath2015,,
5-2-1,,5,2,kɛ̀mnɔ̀ kánì,kɛ̀mnɔ̀ kánì,k ɛ ¹ m n ɔ ¹ _ k a ⁵ n i ¹,,Heath2015,,
18-2-1,,18,2,naywu-de,naywu-de,n a j w u + d e,,Osborn1993,,
6-2-1,,6,2,pɛ́:ⁿ,pɛ́:ⁿ,p ɛ̃ː ⁵ ∼,,Heath2015,,
7-2-1,,7,2,ká:nú kánì,ká:nú kánì,k aː ⁵ n u ⁵ _ k a ⁵ n i ¹,,Heath2015,,
8-2-1,,8,2,kúnjɛ́,kúnjɛ́,k u ⁵ n dʒ ɛ ⁵,,Heath2015,,
9-2-1,,9,2,pɛ́:,pɛ́:,p ɛː ⁵,,Heath2015,,
20-2-1,,20,2,ká:mnɔ́ kán,ká:mnɔ́ kán,k aː ⁵ m n ɔ ⁵ _ k a ⁵ n,,Heath2015,,
10-2-1,,10,2,pɛ́:,pɛ́:,p ɛː ⁵,,Heath2015,,
21-2-1,,21,2,zé:n,zé:n,z eː ⁵ n,,Heath2005,,
22-2-1,,22,2,zé:n,zé:n,z eː ⁵ n,,HeathSONG2015,,
11-2-1,,11,2,pɛ́,pɛ́,p ɛ ⁵,,Heath2015,,
12-2-1,,12,2,kúnjó,kúnjó,k u ⁵ n dʒ o ⁵,,Heath2015,,
13-2-1,,13,2,pɛ́:ⁿ,pɛ́:ⁿ,p ɛ̃ː ⁵ ∼,,Heath2015,,
14-2-1,,14,2,pɛ́ɛ́ⁿ,pɛ́ɛ́ⁿ,p ɛ̃ː ⁵ ∼,,Heath2015,,
15-2-1,,15,2,yɔ̌w,yɔ̌w,j ɔ ¹⁵ w,,Heath2015,,
16-2-1,,16,2,pɛ́:,pɛ́:,p ɛː ⁵,,Heath2015,,
17-2-1,,17,2,pɛ́:,pɛ́:,p ɛː ⁵,,Heath2015,,
2-3-1,,2,3,dántán,dántán,d a ⁵ n t a ⁵ n,,Dumestre2011,,
1-3-1,,1,3,yíríbɛ̀,yíríbɛ̀,j i ⁵ r i ⁵ b ɛ ¹,,Hantgan2016,,
3-3-1,,3,3,dá:bà-m,dá:bà-m,d aː ⁵ b a ¹ + m,,Heath2015,,
4-3-1,,4,3,àrsɛ̌:,àrsɛ̌:,a ¹ r s ɛː ¹⁵,,Heath2015,,
5-3-1,,5,3,kɔ́mbɔ̀,kɔ́mbɔ̀,k ɔ ⁵ m b ɔ ¹,,Heath2015,,
18-3-1,,18,3,daaba,daaba,d a a b a,,Osborn1993,,
6-3-1,,6,3,àsɛ̀gɛ́,àsɛ̀gɛ́,a ¹ s ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
19-3-1,,19,3,dáábā,dáábā,d aː ⁵ b a ³,,Heath2016jenaama,,
7-3-1,,7,3,dèbù bɛ́lí,dèbù bɛ́lí,d e ¹ b u ¹ _ b ɛ ⁵ l i ⁵,,Heath2015,,
8-3-1,,8,3,dúmɛ́-ŋgó,dúmɛ́-ŋgó,d u ⁵ m ɛ ⁵ + ŋ ɡ o ⁵,,Heath2015,,
9-3-1,,9,3,gàsɛ̀gɛ́,gàsɛ̀gɛ́,ɡ a ¹ s ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
20-3-1,,20,3,dá:bá,dá:bá,d aː ⁵ b a ⁵,,Heath2015,,
10-3-1,,10,3,àsɛ̀gɛ́,àsɛ̀gɛ́,a ¹ s ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
21-3-1,,21,3,dá:bbà,dá:bbà,d aː ⁵ b b a ¹,,Heath2005,,
22-3-1,,22,3,dá:bbà:,dá:bbà:,d aː ⁵ b b aː ¹,,HeathSONG2015,,
11-3-1,,11,3,àsɛ̀gɛ́,àsɛ̀gɛ́,a ¹ s ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
12-3-1,,12,3,bèl,bèl,b e ¹ l,,Heath2015,,
13-3-1,,13,3,gìrⁿí árúsɛ̀gɛ̀,gìrⁿí árúsɛ̀gɛ̀,ɡ i ¹ r̃ ∼ i ⁵ _ a ⁵ r u ⁵ s ɛ ¹ ɡ ɛ ¹,,Heath2015,,
14-3-1,,14,3,bɛ̀lú,bɛ̀lú,b ɛ ¹ l u ⁵,,Heath2015,,
15-3-1,,15,3,àrùzàká,àrùzàká,a ¹ r u ¹ z a ¹ k a ⁵,,Heath2015,,
16-3-1,,16,3,àzɛ̀gɛ̀,àzɛ̀gɛ̀,a ¹ z ɛ ¹ ɡ ɛ ¹,,Heath2015,,
17-3-1,,17,3,àrùsɛ̀gɛ́,àrùsɛ̀gɛ́,a ¹ r u ¹ s ɛ ¹ ɡ ɛ ⁵,,Heath2015,,
2-4-1,,2,4,lá-mìnɛ́,lá-mìnɛ́,l a ⁵ + m i ¹ n ɛ ⁵,,Dumestre2011,,
1-4-1,,1,4,yòò-rò,yòò-rò,j oː ¹ + r o ¹,,Hantgan2016,,
3-4-1,,3,4,kísɛ́,kísɛ́,k i ⁵ s ɛ ⁵,,Heath2015,,
4-4-1,,4,4,sá,sá,s a ⁵,,Heath2015,,
5-4-1,,5,4,kíjɛ̀,kíjɛ̀,k i ⁵ dʒ ɛ ¹,,Heath2015,,
6-4-1,,6,4,sá:,sá:,s aː ⁵,,Heath2015,,
7-4-1,,7,4,ábú-lè,ábú-lè,a ⁵ b u ⁵ + l e ¹,,Heath2015,,
9-4-1,,9,4,sá:,sá:,s aː ⁵,,Heath2015,,
20-4-1,,20,4,kíjɛ́,kíjɛ́,k i ⁵ dʒ ɛ ⁵,,Heath2015,,
10-4-1,,10,4,sá:,sá:,s aː ⁵,,Heath2015,,
21-4-1,,21,4,tù:,tù:,t uː ¹,,Heath2005,,
22-4-1,,22,4,tùrù,tùrù,t u ¹ r u ¹,,HeathSONG2015,,
11-4-1,,11,4,sá:m,sá:m,s aː ⁵ m,,Heath2015,,
12-4-1,,12,4,cígírɔ́,cígírɔ́,tʃ i ⁵ ɡ i ⁵ r ɔ ⁵,,Heath2015,,
13-4-1,,13,4,sá:,sá:,s aː ⁵,,Heath2015,,
14-4-1,,14,4,sáwá,sáwá,s a ⁵ w a ⁵,,Heath2015,,
15-4-1,,15,4,císú,císú,tʃ i ⁵ s u ⁵,,Heath2015,,
16-4-1,,16,4,m̀bò sá:,m̀bò sá:,m ¹ b o ¹ _ s aː ⁵,,Heath2015,,
17-4-1,,17,4,sá:,sá:,s aː ⁵,,Heath2015,,
1-5-1,,1,5,kōmpàà,kōmpàà,k o ³ m p aː ¹,,Hantgan2016,,
3-5-1,,3,5,ár kɛ́ndɛ̀,ár kɛ́ndɛ̀,a ⁵ r _ k ɛ ⁵ n d ɛ ¹,,Heath2015,,
4-5-1,,4,5,àr kɛ́lɛ̀,àr kɛ́lɛ̀,a ¹ r _ k ɛ ⁵ l ɛ ¹,,Heath2015,,
18-5-1,,18,5,nawki,nawki,n a w k i,,Osborn1993,,
6-5-1,,6,5,kì kàrá,kì kàrá,k i ¹ _ k a ¹ r a ⁵,,Heath2015,,
19-5-1,,19,5,kɛ̄ lɛ̄mù,kɛ̄ lɛ̄mù,k ɛ ³ _ l ɛ ³ m u ¹,,Heath2016jenaama,,
7-5-1,,7,5,kárá kárá súgù,kárá kárá súgù,k a ⁵ r a ⁵ _ k a ⁵ r a ⁵ _ s u ⁵ ɡ u ¹,,Heath2015,,
8-5-1,,8,5,kà kàrâ: kùl,kà kàrâ: kùl,k a ¹ _ k a ¹ r aː ⁵¹ _ k u ¹ l,,Heath2015,,
9-5-1,,9,5,ɛ̀rɛ̀ kɛ̀ndɛ̂,ɛ̀rɛ̀ kɛ̀ndɛ̂,ɛ ¹ r ɛ ¹ _ k ɛ ¹ n d ɛ ¹⁵,,Heath2015,,
20-5-1,,20,5,kàrà kàrà,kàrà kàrà,k a ¹ r a ¹ _ k a ¹ r a ¹,,Heath2015,,
10-5-1,,10,5,kà kàrá,kà kàrá,k a ¹ _ k a ¹ r a ⁵,,Heath2015,,
21-5-1,,21,5,fátò,fátò,f a ⁵ t o ¹,,Heath2005,,
22-5-1,,22,5,fàtò,fàtò,f a ¹ t o ¹,,HeathSONG2015,,
11-5-1,,11,5,kà kàrá,kà kàrá,k a ¹ _ k a ¹ r a ⁵,,Heath2015,,
12-5-1,,12,5,kàrà kàrà,kàrà kàrà,k a ¹ r a ¹ _ k a ¹ r a ¹,,Heath2015,,
13-5-1,,13,5,kà kàrá,kà kàrá,k a ¹ _ k a ¹ r a ⁵,,Heath2015,,
14-5-1,,14,5,ká kárú,ká kárú,k a ⁵ _ k a ⁵ r u ⁵,,Heath2015,,
15-5-1,,15,5,ìr kílá,ìr kílá,i ¹ r _ k i ⁵ l a ⁵,,Heath2015,,
16-5-1,,16,5,kà gádà,kà gádà,k a ¹ _ ɡ a ⁵ d a ¹,,Heath2015,,
17-5-1,,17,5,kí kárú,kí kárú,k i ⁵ _ k a ⁵ r u ⁵,,Heath2015,,
1-6-1,,1,6,twàà-rà,twàà-rà,t w aː ¹ + r a ¹,,Hantgan2016,,
3-6-1,,3,6,dɔ́,dɔ́,d ɔ ⁵,,Heath2015,,
4-6-1,,4,6,dɔ̌,dɔ̌,d ɔ ¹⁵,,Heath2015,,
5-6-1,,5,6,dín-nɛ̀,dín-nɛ̀,d i ⁵ n + n ɛ ¹,,Heath2015,,
18-6-1,,18,6,yottaa-de,yottaa-de,j o t t a a + d e,,Osborn1993,,
6-6-1,,6,6,dɔ̌:,dɔ̌:,d ɔː ¹⁵,,Heath2015,,
19-6-1,,19,6,kìyɛ̀wⁿ,kìyɛ̀wⁿ,k i ¹ j ɛ ¹ w̃ ∼,,Heath2016jenaama,,
7-6-1,,7,6,dín-yɛ̂:,dín-yɛ̂:,d i ⁵ n + j ɛː ⁵¹,,Heath2015,,
8-6-1,,8,6,dw-ɛ̂:,dw-ɛ̂:,d w + ɛː ⁵¹,,Heath2015,,
9-6-1,,9,6,dɔ̌:,dɔ̌:,d ɔː ¹⁵,,Heath2015,,
20-6-1,,20,6,túb-yɛ̀,túb-yɛ̀,t u ⁵ b + j ɛ ¹,,Heath2015,,
10-6-1,,10,6,dɔ̌:,dɔ̌:,d ɔː ¹⁵,,Heath2015,,
21-6-1,,21,6,tɔ́:,tɔ́:,t ɔː,,Heath2005,,
22-6-1,,22,6,tó:,tó:,t oː ⁵,,HeathSONG2015,,
11-6-1,,11,6,dɔ̌,dɔ̌,d ɔ ¹⁵,,Heath2015,,
12-6-1,,12,6,áyó,áyó,a ⁵ j o ⁵,,Heath2015,,
13-6-1,,13,6,dɔ̌:,dɔ̌:,d ɔː ¹⁵,,Heath2015,,
14-6-1,,14,6,dɔ̀ɔ́,dɔ̀ɔ́,d ɔː ¹⁵,,Heath2015,,
15-6-1,,15,6,dɔ́,dɔ́,d ɔ ⁵,,Heath2015,,
16-6-1,,16,6,dɔ́,dɔ́,d ɔ ⁵,,Heath2015,,
17-6-1,,17,6,dɔ̌:,dɔ̌:,d ɔː ¹⁵,,Heath2015,,
1-7-1,,1,7,tùɥɛ̀,tùɥɛ̀,t u ¹ ɥ ɛ ¹,,Hantgan2016,,
3-7-1,,3,7,dɔ̀yⁿ ɔ̌yⁿ,dɔ̀yⁿ ɔ̌yⁿ,d ɔ ¹ j ∼ _ ɔ ¹⁵ j ∼,,Heath2015,,
4-7-1,,4,7,dɔ̀yⁿ ɔ̌yⁿ,dɔ̀yⁿ ɔ̌yⁿ,d ɔ ¹ j ∼ _ ɔ ¹⁵ j ∼,,Heath2015,,
5-7-1,,5,7,díwɔ̀,díwɔ̀,d i ⁵ w ɔ ¹,,Heath2015,,
6-7-1,,6,7,dɔ̀yⁿɔ́,dɔ̀yⁿɔ́,d ɔ ¹ j ∼ ɔ ⁵,,Heath2015,,
19-7-1,,19,7,síbō,síbō,s i ⁵ b o ³,,Heath2016jenaama,,
7-7-1,,7,7,dwɛ̂:,dwɛ̂:,d w ɛː ⁵¹,,Heath2015,,
8-7-1,,8,7,dɔ̀dɛ̌:-ŋgó,dɔ̀dɛ̌:-ŋgó,d ɔ ¹ d ɛː ¹⁵ + ŋ ɡ o ⁵,,Heath2015,,
9-7-1,,9,7,dùyá,dùyá,d u ¹ j a ⁵,,Heath2015,,
20-7-1,,20,7,dwɛ̀:,dwɛ̀:,d w ɛː ¹,,Heath2015,,
10-7-1,,10,7,dɔ̀yⁿɔ́,dɔ̀yⁿɔ́,d ɔ ¹ j ∼ ɔ ⁵,,Heath2015,,
21-7-1,,21,7,bó:sú,bó:sú,b oː ⁵ s u ⁵,,Heath2005,,
22-7-1,,22,7,bó:só,bó:só,b oː ⁵ s o ⁵,,HeathSONG2015,,
11-7-1,,11,7,dɔ̀ɛ́,dɔ̀ɛ́,d ɔ ¹ ɛ ⁵,,Heath2015,,
12-7-1,,12,7,dwɛ́:,dwɛ́:,d w ɛː ⁵,,Heath2015,,
13-7-1,,13,7,dɔ̀yⁿɛ́,dɔ̀yⁿɛ́,d ɔ ¹ j ∼ ɛ ⁵,,Heath2015,,
14-7-1,,14,7,úndɔ́,úndɔ́,u ⁵ n d ɔ ⁵,,Heath2015,,
15-7-1,,15,7,dòwⁿ òsú,dòwⁿ òsú,d o ¹ w̃ ∼ _ o ¹ s u ⁵,,Heath2015,,
16-7-1,,16,7,dɔ̀yⁿɛ̀,dɔ̀yⁿɛ̀,d ɔ ¹ j ∼ ɛ ¹,,Heath2015,,
17-7-1,,17,7,únɔ̀,únɔ̀,u ⁵ n ɔ ¹,,Heath2015,,
1-8-1,,1,8,ɡīìⁿ,ɡīìⁿ,ɡ ĩː ³¹ ∼,,Hantgan2016,,
3-8-1,,3,8,tùndú,tùndú,t u ¹ n d u ⁵,,Heath2015,,
4-8-1,,4,8,tùlù kɛ́lɛ̀,tùlù kɛ́lɛ̀,t u ¹ l u ¹ _ k ɛ ⁵ l ɛ ¹,,Heath2015,,
5-8-1,,5,8,pùmbù,pùmbù,p u ¹ m b u ¹,,Heath2015,,
18-8-1,,18,8,caggal,caggal,tʃ a ɡ ɡ a l,,Osborn1993,,
6-8-1,,6,8,gǔn,gǔn,ɡ u ¹⁵ n,,Heath2015,,
7-8-1,,7,8,túndú,túndú,t u ⁵ n d u ⁵,,Heath2015,,
8-8-1,,8,8,bàndí-ŋgé,bàndí-ŋgé,b a ¹ n d i ⁵ + ŋ ɡ e ⁵,,Heath2015,,
9-8-1,,9,8,tùndù bìrⁿɛ́,tùndù bìrⁿɛ́,t u ¹ n d u ¹ _ b i ¹ r̃ ∼ ɛ ⁵,,Heath2015,,
20-8-1,,20,8,túndú,túndú,t u ⁵ n d u ⁵,,Heath2015,,
10-8-1,,10,8,tùr kɛ́lɛ́,tùr kɛ́lɛ́,t u ¹ r _ k ɛ ⁵ l ɛ ⁵,,Heath2015,,
21-8-1,,21,8,bandɛ̀,bandɛ̀,b a n d ɛ ¹,,Heath2005,,
22-8-1,,22,8,bàndè,bàndè,b a ¹ n d e ¹,,HeathSONG2015,,
11-8-1,,11,8,kúndú-gó,kúndú-gó,k u ⁵ n d u ⁵ + ɡ o ⁵,,Heath2015,,
12-8-1,,12,8,túnú,túnú,t u ⁵ n u ⁵,,Heath2015,,
13-8-1,,13,8,dògò kɛ́nɛ́,dògò kɛ́nɛ́,d o ¹ ɡ o ¹ _ k ɛ ⁵ n ɛ ⁵,,Heath2015,,
14-8-1,,14,8,ònnú,ònnú,o ¹ n n u ⁵,,Heath2015,,
15-8-1,,15,8,tùŋɔ́,tùŋɔ́,t u ¹ ŋ ɔ ⁵,,Heath2015,,
16-8-1,,16,8,tùnù,tùnù,t u ¹ n u ¹,,Heath2015,,
17-8-1,,17,8,ònɔ́,ònɔ́,o ¹ n ɔ ⁵,,Heath2015,,
2-9-1,,2,9,júgú-máⁿ,júgú-máⁿ,dʒ u ⁵ ɡ u ⁵ + m ã ⁵ ∼,,Dumestre2011,,
1-9-1,,1,9,yáŋɡā,yáŋɡā,j a ⁵ ŋ ɡ a ³,,Hantgan2016,,
3-9-1,,3,9,m̀bɔ̀sú,m̀bɔ̀sú,m ¹ b ɔ ¹ s u ⁵,,Heath2015,,
4-9-1,,4,9,mɔ̀sú,mɔ̀sú,m ɔ ¹ s u ⁵,,Heath2015,,
5-9-1,,5,9,ɲàmì,ɲàmì,ɲ a ¹ m i ¹,,Heath2015,,
18-9-1,,18,9,bon-nde,bon-nde,b o n + n d e,,Osborn1993,,
6-9-1,,6,9,mɔ̀ɲú,mɔ̀ɲú,m ɔ ¹ ɲ u ⁵,,Heath2015,,
19-9-1,,19,9,ɲɔ̄ŋɔ̄,ɲɔ̄ŋɔ̄,ɲ ɔ ³ ŋ ɔ ³,,Heath2016jenaama,,
7-9-1,,7,9,yá:lá,yá:lá,j aː ⁵ l a ⁵,,Heath2015,,
